feature	g__Streptococcus	g__Lautropia	g__Fusobacterium	g__Neisseria	g__Leptotrichia	g__Prevotella	g__Capnocytophaga	g__Veillonella	g__Treponema	g__Bacteroidales_.G.2.	g__Haemophilus	g__Abiotrophia	g__Parvimonas	g__Peptostreptococcus	g__Lactobacillus	g__Gemella	g__Porphyromonas	g__Selenomonas	g__Tannerella	g__Campylobacter	g__Dialister	g__Flavitalea	g__Clostridiales_.F.3..G.1.	g__Solobacterium	g__Saccharibacteria_.TM7._.G.1.	g__Cardiobacterium	g__Alloprevotella	g__Granulicatella	g__Lacticaseibacillus	g__Fretibacterium	g__Peptidiphaga	g__Actinomyces	g__Aggregatibacter	g__Catonella	g__Oribacterium	g__Ruminococcaceae_.G.1.	g__Rothia	g__Lancefieldella	g__Bacteroidetes_.G.5.	g__Kingella	g__Olsenella	g__Riemerella	g__Megasphaera	g__Lachnoanaerobaculum	g__Pseudoleptotrichia	g__Corynebacterium	g__Mycoplasma	g__Saccharibacteria_.TM7._.G.3.	g__Stomatobaculum	g__Peptococcus	g__Bacteroidetes_.G.3.	g__Bifidobacterium	g__Peptostreptococcaceae_.G.7.	g__Saccharibacteria_.TM7._.G.6.	g__Limosilactobacillus	g__Cryptobacterium	g__Arachnia	g__Peptostreptococcaceae_.G.1.	g__Veillonellaceae_.G.1.	g__Gracilibacteria_.GN02._.G.1.	g__Schaalia	g__Eikenella	g__Afipia	g__Scardovia	g__Lachnospiraceae_.G.3.	g__Johnsonella	g__Peptostreptococcaceae_.G.9.	g__Absconditabacteria_.SR1._.G.1.	g__Acidipropionibacterium	g__Weeksellaceae_.G.1.	g__Peptostreptococcaceae_.G.4.	g__Mogibacterium	g__Slackia	g__Lachnospiraceae_.G.2.
93-A	17494	351	1926	886	406	571	901	2302	0	0	4726	17	380	0	0	3368	911	0	0	0	0	0	0	32	0	52	771	644	0	0	0	293	0	0	0	0	20	10	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95-P	662	16522	0	1205	1929	1816	5001	7244	0	0	3628	4713	0	0	0	0	2102	0	0	0	0	0	0	0	0	4	28	0	0	0	56	50	206	0	0	0	0	0	0	31	0	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	196	0	0	0	0	0	0	0	0	0	0	0	0
97-P	13585	1264	2316	5783	2143	1315	2041	565	0	0	3174	225	68	0	0	1092	924	238	380	544	0	133	3	22	178	2164	190	275	0	0	643	1058	601	0	14	37	570	0	0	145	0	278	0	167	0	668	0	0	0	0	0	0	43	86	0	0	60	0	0	406	97	210	79	0	105	66	0	53	0	184	0	0	0	0
75-A	2282	901	13145	106	0	7234	546	536	554	0	521	123	2787	1944	151	824	0	73	0	552	845	64	158	1067	0	0	600	447	241	0	0	583	98	243	1464	0	1336	522	0	0	0	0	0	0	741	172	0	0	0	714	0	0	0	0	0	111	0	183	348	0	50	0	0	43	0	0	0	0	0	0	0	0	0	0
94-P	13060	372	783	325	1611	1880	332	5137	0	0	2184	90	0	37	0	1395	70	208	0	894	123	104	26	9	285	0	689	183	0	0	1606	461	118	0	0	0	3	42	0	112	62	0	0	123	0	151	0	0	130	0	0	73	0	0	0	0	518	0	73	0	98	0	50	0	0	0	0	0	0	0	0	0	0	0
93-P	12527	929	2408	1992	1274	1898	189	2992	0	0	3132	259	0	0	0	1640	0	315	0	569	0	0	0	0	0	264	0	169	0	0	0	208	383	0	0	0	106	0	0	32	0	0	0	272	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	39	0
84-P	12170	3769	1060	5462	2422	666	3596	1299	0	0	3960	1351	10	0	0	193	284	39	0	30	0	0	0	0	0	30	321	303	0	0	0	1329	0	5	0	0	88	0	0	1301	0	105	0	31	0	147	0	0	0	28	0	0	9	0	0	0	35	0	0	0	68	0	0	0	0	0	0	0	0	47	0	0	0	0
71-A	1215	0	11925	0	490	4785	726	340	2615	3420	0	0	732	1199	0	0	2646	460	1705	2204	467	125	86	264	282	100	451	0	0	1012	0	259	233	78	255	0	0	146	0	0	0	0	0	329	0	144	0	0	132	426	112	0	0	0	0	0	0	0	327	0	40	207	0	0	57	153	0	0	0	0	0	0	36	0
100-P	10959	2175	2028	11510	4598	1853	2446	4051	10	29	1657	887	27	0	0	139	2770	154	132	555	0	0	0	0	802	144	892	394	0	0	0	536	399	30	0	33	42	4	0	355	0	401	0	756	481	107	0	49	6	0	0	0	111	73	0	0	10	0	0	85	399	41	0	0	50	10	12	103	0	82	0	0	0	59
83-P	10545	0	0	0	0	4047	0	3399	0	0	0	0	3070	0	0	0	0	0	0	0	0	2250	2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88-P	10352	1428	2456	5511	8825	260	2457	3186	0	0	2549	443	78	0	0	1630	2405	432	0	894	0	0	0	79	71	326	327	1715	0	0	533	563	591	0	0	1365	382	0	0	1193	0	191	0	689	589	519	0	0	0	0	0	0	66	0	0	0	55	0	0	0	31	0	83	0	0	0	0	89	0	0	0	0	0	0
72-A	2752	354	9915	226	155	2694	148	529	5881	5670	57	153	76	44	0	77	1119	567	0	2109	2168	0	0	22	86	0	229	112	0	1103	0	97	29	96	101	0	60	11	1310	176	1278	0	68	13	0	91	139	0	0	638	232	22	50	20	15	11	0	178	462	0	8	0	0	61	0	321	46	20	98	0	192	19	118	0
72-P	2765	58	9544	189	61	7086	85	3286	10	21	23	13	4625	4380	56	91	10	0	0	83	55	35	0	651	15	0	97	577	35	0	0	176	0	1478	561	0	21	316	9	13	0	0	52	75	23	97	0	40	895	41	0	137	25	0	286	530	0	516	0	0	32	104	9	0	0	0	0	0	0	15	0	132	0	0
100-A	3644	0	6412	722	0	8599	0	1123	911	0	0	0	447	0	3422	0	0	1616	649	394	2551	0	224	56	304	708	569	686	1865	0	0	34	0	195	566	0	0	72	0	243	0	1139	1115	88	0	51	0	924	184	194	0	214	0	0	566	320	50	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74-P	7982	0	2012	0	0	2318	1446	1885	0	0	1253	0	4502	0	0	0	0	0	0	1417	0	0	661	0	0	1645	0	1870	0	16	1159	1489	0	0	0	0	837	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0
80-A	0	0	7976	0	0	2172	743	15	3492	2627	0	0	1874	391	79	11	1090	126	2642	2605	935	0	0	6	0	0	241	0	15	1851	4	0	0	86	13	0	0	169	1048	0	105	0	25	0	0	0	0	50	0	282	674	0	477	0	21	0	0	291	169	0	0	38	0	0	0	287	230	63	6	0	61	0	22	0
95-A	2818	7838	1140	3088	118	3768	7431	295	261	189	1931	1748	234	731	0	0	520	317	311	47	214	0	0	2	55	42	474	0	6	159	0	32	1485	48	0	0	0	138	35	0	272	219	0	0	0	37	221	0	70	0	51	0	0	0	0	0	0	4	172	0	45	390	0	0	0	0	5	0	0	0	46	45	0	0
79-P	7754	1107	1498	5237	607	1616	1010	3625	0	0	5386	120	0	12	0	133	971	70	0	169	0	0	0	0	0	33	428	287	0	0	367	1467	110	0	0	0	575	0	0	888	0	487	0	349	59	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	56	66	0	0	0	0	0	0	0	0	0	0	0
85-P	7687	2017	3107	1787	1028	2555	1670	1230	0	0	955	450	838	0	0	619	562	0	0	175	798	1144	0	0	567	325	0	800	0	0	0	402	62	0	0	0	468	0	0	990	0	0	0	153	247	425	0	0	0	0	0	0	0	571	0	0	23	0	0	0	107	179	182	0	66	0	0	0	0	0	0	0	0	0
85-A	3942	0	1335	1958	0	7533	0	628	0	2333	228	0	0	0	0	1624	0	0	0	0	0	0	0	0	0	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0
96-P	3560	1029	109	7248	1233	983	1473	1810	6	0	519	956	7	0	0	104	1179	460	47	56	0	0	0	0	92	307	421	237	0	0	147	425	73	0	18	0	552	0	0	64	0	466	0	55	229	442	0	11	8	0	0	0	17	10	0	0	11	0	2	34	79	11	0	0	0	0	0	0	0	52	0	0	0	0
83-A	6941	0	682	0	817	4909	0	0	0	0	0	0	1604	0	2191	0	0	401	0	0	1029	0	969	0	0	0	0	519	1638	0	35	152	0	0	0	0	0	274	0	0	69	0	0	0	0	0	0	0	0	0	0	0	571	0	0	0	0	0	0	0	93	0	0	381	0	0	0	0	0	0	0	0	0	0
75-P	5041	526	6799	1374	2241	5502	1238	2080	199	61	1066	270	1970	1832	0	551	583	2769	472	899	10	0	0	160	2206	361	913	588	17	0	0	846	200	838	259	27	27	79	0	81	7	36	25	387	15	346	0	90	449	114	0	0	88	136	103	135	121	227	0	49	209	47	0	0	153	0	53	9	0	60	0	54	0	36
