feature	g__Streptococcus	g__Lautropia	g__Fusobacterium	g__Neisseria	g__Leptotrichia	g__Prevotella	g__Capnocytophaga	g__Veillonella	g__Treponema	g__Bacteroidales_.G.2.	g__Haemophilus	g__Abiotrophia	g__Parvimonas	g__Peptostreptococcus	g__Lactobacillus	g__Gemella	g__Porphyromonas	g__Selenomonas	g__Tannerella	g__Campylobacter	g__Dialister	g__Flavitalea	g__Clostridiales_.F.3..G.1.	g__Solobacterium	g__Saccharibacteria_.TM7._.G.1.	g__Cardiobacterium	g__Alloprevotella	g__Granulicatella	g__Lacticaseibacillus	g__Fretibacterium	g__Peptidiphaga	g__Actinomyces	g__Aggregatibacter	g__Catonella	g__Oribacterium	g__Ruminococcaceae_.G.1.	g__Rothia	g__Lancefieldella	g__Bacteroidetes_.G.5.	g__Kingella	g__Olsenella	g__Riemerella	g__Megasphaera	g__Lachnoanaerobaculum	g__Pseudoleptotrichia	g__Corynebacterium	g__Mycoplasma	g__Saccharibacteria_.TM7._.G.3.	g__Stomatobaculum	g__Peptococcus	g__Bacteroidetes_.G.3.	g__Bifidobacterium	g__Peptostreptococcaceae_.G.7.	g__Saccharibacteria_.TM7._.G.6.	g__Limosilactobacillus	g__Cryptobacterium	g__Arachnia	g__Peptostreptococcaceae_.G.1.	g__Veillonellaceae_.G.1.	g__Gracilibacteria_.GN02._.G.1.	g__Schaalia	g__Eikenella	g__Afipia	g__Scardovia	g__Lachnospiraceae_.G.3.	g__Johnsonella	g__Peptostreptococcaceae_.G.9.	g__Absconditabacteria_.SR1._.G.1.	g__Acidipropionibacterium	g__Weeksellaceae_.G.1.	g__Peptostreptococcaceae_.G.4.	g__Mogibacterium	g__Slackia	g__Lachnospiraceae_.G.2.
93-A	7915.8371040724	158.823529411765	871.493212669683	400.904977375566	183.710407239819	258.371040723982	407.692307692308	1041.62895927602	0	0	2138.46153846154	7.69230769230769	171.945701357466	0	0	1523.98190045249	412.217194570136	0	0	0	0	0	0	14.4796380090498	0	23.5294117647059	348.868778280543	291.402714932127	0	0	0	132.579185520362	0	0	0	0	9.04977375565611	4.52488687782805	0	35.2941176470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95-P	358.419057931781	8945.31672983216	0	652.409312398484	1044.39631835409	983.216025988089	2707.63400108284	3922.03573362209	0	0	1964.26637791012	2551.70546832702	0	0	0	0	1138.06172171088	0	0	0	0	0	0	0	0	2.16567406605306	15.1597184623714	0	0	0	30.3194369247428	27.0709258256632	111.532214401733	0	0	0	0	0	0	16.7839740119112	0	313.48132106118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.9496480779643	106.1180292366	0	0	0	0	0	0	0	0	0	0	0	0
97-P	5653.34997919268	526.009155222638	963.795255930087	2406.57511444028	891.801914273824	547.232625884311	849.354972950479	235.122763212651	0	0	1320.84893882647	93.6329588014981	28.2979608822305	0	0	454.431960049938	384.519350811486	99.0428630878069	158.135663753641	226.383687057844	0	55.3474823137744	1.24843945068664	9.15522263836871	74.0740740740741	900.540990428631	79.0678318768206	114.440282979609	0	0	267.582188930504	440.282979608822	250.104036620891	0	5.826050769871	15.3974198918019	237.203495630462	0	0	60.341240116521	0	115.688722430295	0	69.4964627548897	0	277.985851019559	0	0	0	0	0	0	17.8942987931752	35.7885975863504	0	0	24.9687890137328	0	0	168.955472326259	40.3662089055347	87.3907615480649	32.8755722014149	0	43.6953807740325	27.4656679151061	0	22.0557636287973	0	76.5709529754474	0	0	0	0
75-A	544.630071599045	215.035799522673	3137.23150357995	25.2983293556086	0	1726.49164677804	130.310262529833	127.923627684964	132.219570405728	0	124.343675417661	29.3556085918854	665.155131264916	463.961813842482	36.0381861575179	196.658711217184	0	17.4224343675418	0	131.742243436754	201.670644391408	15.2744630071599	37.708830548926	254.653937947494	0	0	143.198090692124	106.682577565632	57.5178997613365	0	0	139.140811455847	23.3890214797136	57.9952267303103	349.403341288783	0	318.854415274463	124.582338902148	0	0	0	0	0	0	176.849642004773	41.0501193317422	0	0	0	170.405727923628	0	0	0	0	0	26.491646778043	0	43.6754176610978	83.054892601432	0	11.9331742243437	0	0	10.2625298329356	0	0	0	0	0	0	0	0	0	0
94-P	8741.63319946452	248.995983935743	524.096385542169	217.536813922356	1078.31325301205	1258.36680053548	222.222222222222	3438.4203480589	0	0	1461.84738955823	60.2409638554217	0	24.7657295850067	0	933.734939759036	46.8540829986613	139.223560910308	0	598.393574297189	82.3293172690763	69.611780455154	17.4029451137885	6.02409638554217	190.763052208835	0	461.178045515395	122.489959839357	0	0	1074.96653279786	308.567603748327	78.9825970548862	0	0	0	2.00803212851406	28.1124497991968	0	74.9665327978581	41.4993306559572	0	0	82.3293172690763	0	101.070950468541	0	0	87.0147255689424	0	0	48.8621151271754	0	0	0	0	346.720214190094	0	48.8621151271754	0	65.5957161981258	0	33.4672021419009	0	0	0	0	0	0	0	0	0	0	0
93-P	5210.89850249584	386.439267886855	1001.66389351082	828.618968386023	529.950083194676	789.517470881864	78.6189683860233	1244.59234608985	0	0	1302.82861896839	107.737104825291	0	0	0	682.196339434276	0	131.031613976706	0	236.688851913478	0	0	0	0	0	109.81697171381	0	70.2995008319468	0	0	0	86.522462562396	159.317803660566	0	0	0	44.0931780366057	0	0	13.3111480865225	0	0	0	113.144758735441	0	167.221297836938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.8835274542429	0	0	0	0	0	0	0	0	0	0	16.2229617304493	0
84-P	14069.3641618497	4357.22543352601	1225.43352601156	6314.45086705202	2800	769.942196531792	4157.22543352601	1501.73410404624	0	0	4578.03468208092	1561.84971098266	11.5606936416185	0	0	223.121387283237	328.323699421965	45.0867052023121	0	34.6820809248555	0	0	0	0	0	34.6820809248555	371.098265895954	350.28901734104	0	0	0	1536.4161849711	0	5.78034682080925	0	0	101.734104046243	0	0	1504.04624277457	0	121.387283236994	0	35.8381502890173	0	169.942196531792	0	0	0	32.3699421965318	0	0	10.4046242774566	0	0	0	40.4624277456647	0	0	0	78.6127167630058	0	0	0	0	0	0	0	0	54.3352601156069	0	0	0	0
71-A	400.197628458498	0	3927.86561264822	0	161.396574440053	1576.08695652174	239.130434782609	111.989459815547	861.33069828722	1126.48221343874	0	0	241.106719367589	394.927536231884	0	0	871.541501976285	151.515151515152	561.594202898551	725.955204216074	153.820816864295	41.1725955204216	28.3267457180501	86.9565217391304	92.8853754940711	32.9380764163373	148.550724637681	0	0	333.333333333333	0	85.3096179183136	76.7457180500659	25.6916996047431	83.9920948616601	0	0	48.0895915678524	0	0	0	0	0	108.36627140975	0	47.4308300395257	0	0	43.4782608695652	140.316205533597	36.8906455862978	0	0	0	0	0	0	0	107.707509881423	0	13.1752305665349	68.1818181818182	0	0	18.7747035573123	50.395256916996	0	0	0	0	0	0	11.8577075098814	0
100-P	7895.53314121038	1567.00288184438	1461.09510086455	8292.50720461095	3312.68011527378	1335.0144092219	1762.24783861671	2918.5878962536	7.20461095100865	20.8933717579251	1193.80403458213	639.048991354467	19.4524495677233	0	0	100.14409221902	1995.6772334294	110.951008645533	95.1008645533141	399.85590778098	0	0	0	0	577.809798270893	103.746397694525	642.651296829971	283.861671469741	0	0	0	386.167146974063	287.463976945245	21.6138328530259	0	23.7752161383285	30.2593659942363	2.88184438040346	0	255.763688760807	0	288.904899135447	0	544.668587896254	346.541786743516	77.0893371757925	0	35.3025936599424	4.32276657060519	0	0	0	79.971181556196	52.5936599423631	0	0	7.20461095100865	0	0	61.2391930835735	287.463976945245	29.5389048991354	0	0	36.0230547550432	7.20461095100865	8.64553314121038	74.2074927953891	0	59.0778097982709	0	0	0	42.507204610951
83-P	1396.50377433453	0	0	0	0	535.955502582439	0	450.139054429877	0	0	0	0	406.568666401801	0	0	0	0	0	0	0	0	297.973778307509	295.45755529069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
