feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__Lautropia	condition	control	2.94620042228228	0.673405664576671	50	33	6.51589114218137e-05	0.000916917853729042
g__Leptotrichia	condition	control	2.72283281835488	0.628146698295002	50	40	7.43446908428953e-05	0.000916917853729042
g__Haemophilus	condition	control	3.01162447438018	0.669831892730681	50	39	4.37704703173266e-05	0.000916917853729042
g__Dialister	condition	control	-3.72460501371627	0.777693745411822	50	28	1.64580010373821e-05	0.000916917853729042
g__Rothia	condition	control	3.56782748573966	0.822153624895718	50	35	7.31648988896115e-05	0.000916917853729042
g__Corynebacterium	condition	control	2.55760163489144	0.561615236001803	50	36	3.61349898584067e-05	0.000916917853729042
g__Treponema	condition	control	-4.0768520085506	1.00703161009615	50	29	0.000186998934875192	0.00197684588296632
g__Actinomyces	condition	control	2.43137767378126	0.611813514559587	50	42	0.000236640369852465	0.0021889234211353
g__Kingella	condition	control	2.34873305566342	0.60385472890569	50	33	0.000308568289062435	0.00253711704340224
g__Lancefieldella	condition	control	-2.79422118179485	0.740893969690979	50	24	0.000445421876776318	0.00329612188814475
g__Abiotrophia	condition	control	2.76425225322335	0.743802783082845	50	30	0.000527599237263686	0.00354930395977389
g__Neisseria	condition	control	3.09191795148772	0.857868891201542	50	40	0.000742468729111603	0.00457855716285489
g__Fretibacterium	condition	control	-2.76155178009269	0.784558197148226	50	10	0.000956709923699343	0.00544588725798088
g__Prevotella	condition	control	-1.2337590685648	0.359839877671072	50	50	0.0012547348397634	0.00647774421346533
g__Lachnoanaerobaculum	condition	control	2.21881089647442	0.65006162490608	50	30	0.00131305625948621	0.00647774421346533
g__Weeksellaceae_.G.1.	condition	control	1.17481750642749	0.358348833936846	50	14	0.00194585899765969	0.00899959786417605
g__Gemella	condition	control	2.17720678076828	0.72492647621748	50	34	0.00423238697502005	0.0154011718483684
g__Riemerella	condition	control	1.83022554004669	0.611769626481229	50	22	0.00437060282183428	0.0154011718483684
g__Bacteroidetes_.G.3.	condition	control	-1.48388538082927	0.495551399738043	50	8	0.00433795892567627	0.0154011718483684
g__Arachnia	condition	control	1.66007165864498	0.542618438115085	50	23	0.0036233743029279	0.0154011718483684
g__Veillonellaceae_.G.1.	condition	control	-2.11018834299178	0.695178424712649	50	15	0.00387248214518857	0.0154011718483684
g__Capnocytophaga	condition	control	1.65819381981159	0.565902272256328	50	44	0.00517245134093155	0.0167021437274436
g__Veillonella	condition	control	1.85928662061559	0.634818501081854	50	46	0.00519120683420544	0.0167021437274436
g__Streptococcus	condition	control	1.23681397902412	0.43126297600263	50	48	0.00612247634555151	0.0188776353987838
g__Saccharibacteria_.TM7._.G.6.	condition	control	1.09401987397249	0.39342373633459	50	12	0.00772483884580119	0.0228655229835715
g__Gracilibacteria_.GN02._.G.1.	condition	control	1.12172534931749	0.410187864590435	50	11	0.00872196586350591	0.0248240566884399
g__Lactobacillus	condition	control	-1.35360440432319	0.50816864986366	50	10	0.0104906337938022	0.0287521074348652
g__Peptidiphaga	condition	control	2.19622022529724	0.834152895657122	50	22	0.0113565499987601	0.0300137392824374
g__Solobacterium	condition	control	-2.33606075732031	0.932712633254699	50	26	0.0157091156515294	0.0387491519404392
g__Peptostreptococcaceae_.G.4.	condition	control	-0.988217309649883	0.393811986175051	50	6	0.0155231417413517	0.0387491519404392
g__Mycoplasma	condition	control	-1.1581143789105	0.470823807855033	50	6	0.0175559029666923	0.0419076393398461
g__Granulicatella	condition	control	1.82122601628025	0.756268048427133	50	38	0.0199224988734935	0.0460707786449536
g__Ruminococcaceae_.G.1.	condition	control	1.18175584701174	0.494681634207828	50	15	0.0208769347076523	0.0468149444959475
